starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 17 12:02:39 2017	1502989359	20	134	154	134
Thu Aug 17 12:02:39 2017	1502989359	35	153	188	153
Thu Aug 17 12:02:39 2017	1502989359	35	154	189	154
Thu Aug 17 12:02:39 2017	1502989359	124	102	226	101
Thu Aug 17 12:02:47 2017	1502989367	77	152	229	149
Thu Aug 17 12:02:47 2017	1502989367	77	152	229	149
Thu Aug 17 12:02:37 2017	1502989357	38	192	231	192
Thu Aug 17 12:02:37 2017	1502989357	41	191	232	185
Thu Aug 17 12:02:47 2017	1502989367	84	149	233	149
Thu Aug 17 12:02:47 2017	1502989367	84	149	233	149
Thu Aug 17 12:02:39 2017	1502989359	26	209	235	206
Thu Aug 17 12:02:37 2017	1502989357	41	200	242	185
Thu Aug 17 12:02:47 2017	1502989367	91	152	242	152
Thu Aug 17 12:02:47 2017	1502989367	91	152	242	152
Thu Aug 17 12:02:47 2017	1502989367	104	152	255	152
Thu Aug 17 12:02:47 2017	1502989367	77	181	258	152
Thu Aug 17 12:02:47 2017	1502989367	77	181	258	152
Thu Aug 17 12:02:47 2017	1502989367	77	183	260	152
Thu Aug 17 12:02:47 2017	1502989367	110	152	262	152
Thu Aug 17 12:02:37 2017	1502989357	39	224	263	224
Thu Aug 17 12:02:45 2017	1502989365	83	186	268	185
Thu Aug 17 12:02:45 2017	1502989365	83	186	268	185
Thu Aug 17 12:02:43 2017	1502989363	35	234	269	234
Thu Aug 17 12:02:39 2017	1502989359	124	149	273	102
Thu Aug 17 12:02:47 2017	1502989367	77	196	273	196
Thu Aug 17 12:02:47 2017	1502989367	77	196	273	181
Thu Aug 17 12:02:47 2017	1502989367	77	196	273	183
Thu Aug 17 12:02:47 2017	1502989367	77	196	273	196
Thu Aug 17 12:02:39 2017	1502989359	124	150	274	149
Thu Aug 17 12:02:43 2017	1502989363	145	129	275	129
Thu Aug 17 12:02:43 2017	1502989363	127	151	278	151
Thu Aug 17 12:02:43 2017	1502989363	127	151	278	151
Thu Aug 17 12:02:43 2017	1502989363	127	151	278	151
Thu Aug 17 12:02:42 2017	1502989362	119	159	278	159
Thu Aug 17 12:02:43 2017	1502989363	152	129	281	129
