starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 17 12:18:41 2017	1502990321	0	198	198	185
Thu Aug 17 12:18:47 2017	1502990327	0	198	199	188
Thu Aug 17 12:18:41 2017	1502990321	0	199	199	197
Thu Aug 17 12:18:41 2017	1502990321	0	199	199	192
Thu Aug 17 12:18:41 2017	1502990321	0	199	199	194
Thu Aug 17 12:18:47 2017	1502990327	0	199	199	196
Thu Aug 17 12:18:47 2017	1502990327	0	199	199	198
Thu Aug 17 12:18:47 2017	1502990327	0	199	199	194
Thu Aug 17 12:18:41 2017	1502990321	0	199	200	190
Thu Aug 17 12:18:41 2017	1502990321	0	200	200	199
Thu Aug 17 12:18:41 2017	1502990321	0	200	200	198
Thu Aug 17 12:18:41 2017	1502990321	0	200	200	199
Thu Aug 17 12:18:41 2017	1502990321	0	200	200	197
Thu Aug 17 12:18:41 2017	1502990321	0	201	201	197
Thu Aug 17 12:18:41 2017	1502990321	0	201	201	198
Thu Aug 17 12:18:47 2017	1502990327	0	201	201	194
Thu Aug 17 12:18:41 2017	1502990321	0	202	202	198
Thu Aug 17 12:18:37 2017	1502990317	0	203	203	202
Thu Aug 17 12:18:37 2017	1502990317	0	203	203	201
Thu Aug 17 12:18:37 2017	1502990317	0	203	203	201
Thu Aug 17 12:18:41 2017	1502990321	0	203	203	200
Thu Aug 17 12:18:38 2017	1502990318	0	204	204	194
Thu Aug 17 12:18:38 2017	1502990318	0	204	204	197
Thu Aug 17 12:18:41 2017	1502990321	0	204	204	202
Thu Aug 17 12:18:41 2017	1502990321	0	204	204	203
Thu Aug 17 12:18:41 2017	1502990321	0	204	204	202
Thu Aug 17 12:18:38 2017	1502990318	0	204	204	203
Thu Aug 17 12:18:38 2017	1502990318	0	204	204	202
Thu Aug 17 12:18:37 2017	1502990317	0	204	204	203
Thu Aug 17 12:18:37 2017	1502990317	0	204	204	203
Thu Aug 17 12:18:37 2017	1502990317	0	204	205	202
Thu Aug 17 12:18:41 2017	1502990321	0	205	205	199
Thu Aug 17 12:18:41 2017	1502990321	0	205	205	202
