starttime	seconds	ctime	dtime	ttime	wait
Thu Aug 17 12:06:49 2017	1502989609	25	28	53	22
Thu Aug 17 12:06:49 2017	1502989609	12	48	60	41
Thu Aug 17 12:06:50 2017	1502989610	33	39	73	26
Thu Aug 17 12:06:50 2017	1502989610	42	32	73	31
Thu Aug 17 12:06:50 2017	1502989610	42	32	73	31
Thu Aug 17 12:06:50 2017	1502989610	42	32	73	31
Thu Aug 17 12:06:50 2017	1502989610	42	32	73	31
Thu Aug 17 12:06:49 2017	1502989609	12	64	77	64
Thu Aug 17 12:06:49 2017	1502989609	12	64	77	40
Thu Aug 17 12:06:49 2017	1502989609	12	64	77	40
Thu Aug 17 12:06:49 2017	1502989609	12	64	77	31
Thu Aug 17 12:06:50 2017	1502989610	7	72	79	69
Thu Aug 17 12:06:50 2017	1502989610	11	71	82	69
Thu Aug 17 12:06:50 2017	1502989610	11	71	82	69
Thu Aug 17 12:06:51 2017	1502989611	44	38	82	38
Thu Aug 17 12:06:50 2017	1502989610	15	70	85	69
Thu Aug 17 12:06:50 2017	1502989610	7	79	86	69
Thu Aug 17 12:06:50 2017	1502989610	39	48	87	48
Thu Aug 17 12:06:52 2017	1502989612	38	49	88	42
Thu Aug 17 12:06:52 2017	1502989612	38	50	88	42
Thu Aug 17 12:06:50 2017	1502989610	10	81	91	81
Thu Aug 17 12:06:50 2017	1502989610	8	82	91	82
Thu Aug 17 12:06:50 2017	1502989610	8	82	91	79
Thu Aug 17 12:06:50 2017	1502989610	11	83	95	62
Thu Aug 17 12:06:50 2017	1502989610	12	83	95	79
Thu Aug 17 12:06:50 2017	1502989610	37	59	96	48
Thu Aug 17 12:06:50 2017	1502989610	36	60	96	60
Thu Aug 17 12:06:50 2017	1502989610	36	60	96	59
Thu Aug 17 12:06:50 2017	1502989610	18	81	99	73
Thu Aug 17 12:06:50 2017	1502989610	26	75	101	71
Thu Aug 17 12:06:50 2017	1502989610	26	75	101	71
Thu Aug 17 12:06:50 2017	1502989610	26	75	101	71
Thu Aug 17 12:06:50 2017	1502989610	26	75	101	69
Thu Aug 17 12:06:51 2017	1502989611	14	91	105	91
Thu Aug 17 12:06:51 2017	1502989611	48	57	105	57
Thu Aug 17 12:06:51 2017	1502989611	48	57	105	57
Thu Aug 17 12:06:50 2017	1502989610	11	98	109	80
Thu Aug 17 12:06:51 2017	1502989611	57	53	110	53
Thu Aug 17 12:06:50 2017	1502989610	16	95	111	95
Thu Aug 17 12:06:50 2017	1502989610	19	91	111	80
Thu Aug 17 12:06:51 2017	1502989611	29	86	115	65
Thu Aug 17 12:06:51 2017	1502989611	29	86	116	86
Thu Aug 17 12:06:51 2017	1502989611	60	57	118	57
Thu Aug 17 12:06:51 2017	1502989611	60	57	118	57
Thu Aug 17 12:06:51 2017	1502989611	60	57	118	57
Thu Aug 17 12:06:51 2017	1502989611	60	57	118	57
Thu Aug 17 12:06:51 2017	1502989611	60	57	118	57
Thu Aug 17 12:06:50 2017	1502989610	15	103	118	100
Thu Aug 17 12:06:51 2017	1502989611	46	72	118	72
Thu Aug 17 12:06:50 2017	1502989610	15	103	118	100
Thu Aug 17 12:06:50 2017	1502989610	8	110	118	108
Thu Aug 17 12:06:50 2017	1502989610	8	111	118	108
Thu Aug 17 12:06:50 2017	1502989610	29	90	118	85
Thu Aug 17 12:06:50 2017	1502989610	8	111	119	109
Thu Aug 17 12:06:51 2017	1502989611	19	103	122	97
Thu Aug 17 12:06:51 2017	1502989611	19	104	122	103
Thu Aug 17 12:06:50 2017	1502989610	12	112	123	100
Thu Aug 17 12:06:51 2017	1502989611	42	82	124	59
Thu Aug 17 12:06:51 2017	1502989611	42	82	124	69
Thu Aug 17 12:06:51 2017	1502989611	42	82	124	69
Thu Aug 17 12:06:50 2017	1502989610	27	98	124	86
Thu Aug 17 12:06:50 2017	1502989610	27	98	124	86
Thu Aug 17 12:06:50 2017	1502989610	32	94	127	90
Thu Aug 17 12:06:50 2017	1502989610	33	94	128	90
Thu Aug 17 12:06:51 2017	1502989611	23	105	128	86
Thu Aug 17 12:06:50 2017	1502989610	11	117	128	106
Thu Aug 17 12:06:50 2017	1502989610	59	70	130	69
Thu Aug 17 12:06:52 2017	1502989612	54	78	132	64
Thu Aug 17 12:06:55 2017	1502989615	32	100	132	99
Thu Aug 17 12:06:52 2017	1502989612	42	90	132	76
Thu Aug 17 12:06:51 2017	1502989611	29	103	133	86
Thu Aug 17 12:06:51 2017	1502989611	29	105	134	86
Thu Aug 17 12:06:52 2017	1502989612	42	93	135	93
Thu Aug 17 12:06:52 2017	1502989612	42	93	135	93
Thu Aug 17 12:06:52 2017	1502989612	42	93	135	93
Thu Aug 17 12:06:50 2017	1502989610	32	105	138	94
Thu Aug 17 12:06:50 2017	1502989610	32	105	138	94
Thu Aug 17 12:06:50 2017	1502989610	26	112	138	105
Thu Aug 17 12:06:50 2017	1502989610	10	128	138	128
Thu Aug 17 12:06:50 2017	1502989610	26	112	138	108
Thu Aug 17 12:06:52 2017	1502989612	44	95	139	70
Thu Aug 17 12:06:50 2017	1502989610	11	128	139	117
Thu Aug 17 12:06:50 2017	1502989610	11	128	139	117
Thu Aug 17 12:06:50 2017	1502989610	11	128	139	117
Thu Aug 17 12:06:50 2017	1502989610	26	113	140	112
Thu Aug 17 12:06:55 2017	1502989615	32	108	141	108
Thu Aug 17 12:06:55 2017	1502989615	32	108	141	103
Thu Aug 17 12:06:55 2017	1502989615	32	108	141	100
Thu Aug 17 12:06:55 2017	1502989615	32	108	141	107
Thu Aug 17 12:06:55 2017	1502989615	32	108	141	102
Thu Aug 17 12:06:50 2017	1502989610	61	80	142	71
Thu Aug 17 12:06:50 2017	1502989610	6	136	142	76
Thu Aug 17 12:06:52 2017	1502989612	42	100	142	73
Thu Aug 17 12:06:52 2017	1502989612	42	100	142	73
Thu Aug 17 12:06:54 2017	1502989614	11	132	143	132
Thu Aug 17 12:06:54 2017	1502989614	9	133	143	133
Thu Aug 17 12:06:50 2017	1502989610	7	136	143	75
Thu Aug 17 12:06:50 2017	1502989610	7	136	143	75
Thu Aug 17 12:06:52 2017	1502989612	42	101	143	93
Thu Aug 17 12:06:50 2017	1502989610	64	80	144	71
Thu Aug 17 12:06:56 2017	1502989616	35	112	147	111
Thu Aug 17 12:06:54 2017	1502989614	11	136	147	134
Thu Aug 17 12:06:50 2017	1502989610	37	112	149	97
Thu Aug 17 12:06:54 2017	1502989614	11	138	149	134
Thu Aug 17 12:06:50 2017	1502989610	60	91	151	91
Thu Aug 17 12:06:50 2017	1502989610	62	92	154	79
Thu Aug 17 12:06:49 2017	1502989609	12	143	155	141
Thu Aug 17 12:06:49 2017	1502989609	11	145	156	141
Thu Aug 17 12:06:52 2017	1502989612	102	54	156	46
Thu Aug 17 12:06:55 2017	1502989615	32	125	157	108
Thu Aug 17 12:06:54 2017	1502989614	43	114	158	108
Thu Aug 17 12:06:54 2017	1502989614	11	146	158	141
Thu Aug 17 12:06:54 2017	1502989614	11	146	158	141
Thu Aug 17 12:06:50 2017	1502989610	79	79	158	70
Thu Aug 17 12:06:50 2017	1502989610	38	120	158	103
Thu Aug 17 12:06:56 2017	1502989616	69	90	159	90
Thu Aug 17 12:06:54 2017	1502989614	43	116	159	108
Thu Aug 17 12:06:54 2017	1502989614	20	139	159	134
Thu Aug 17 12:06:54 2017	1502989614	20	139	159	128
Thu Aug 17 12:06:55 2017	1502989615	32	127	159	114
Thu Aug 17 12:06:50 2017	1502989610	80	79	160	70
Thu Aug 17 12:06:50 2017	1502989610	80	79	160	70
Thu Aug 17 12:07:05 2017	1502989625	67	93	160	82
Thu Aug 17 12:07:05 2017	1502989625	67	93	160	82
Thu Aug 17 12:06:54 2017	1502989614	8	152	161	149
Thu Aug 17 12:06:54 2017	1502989614	11	149	161	146
Thu Aug 17 12:06:49 2017	1502989609	12	149	161	141
Thu Aug 17 12:06:56 2017	1502989616	71	90	161	90
Thu Aug 17 12:06:50 2017	1502989610	36	125	161	120
Thu Aug 17 12:06:50 2017	1502989610	36	125	161	120
Thu Aug 17 12:06:55 2017	1502989615	32	129	161	117
Thu Aug 17 12:06:55 2017	1502989615	32	129	161	121
Thu Aug 17 12:06:55 2017	1502989615	32	129	161	121
Thu Aug 17 12:06:54 2017	1502989614	10	152	162	147
Thu Aug 17 12:06:50 2017	1502989610	59	104	163	91
Thu Aug 17 12:06:54 2017	1502989614	11	152	163	138
Thu Aug 17 12:06:50 2017	1502989610	38	125	163	120
Thu Aug 17 12:06:50 2017	1502989610	38	125	164	120
Thu Aug 17 12:06:49 2017	1502989609	16	148	164	128
Thu Aug 17 12:06:51 2017	1502989611	27	137	164	126
Thu Aug 17 12:06:56 2017	1502989616	72	92	164	92
Thu Aug 17 12:06:49 2017	1502989609	107	57	165	38
Thu Aug 17 12:06:49 2017	1502989609	107	58	165	38
Thu Aug 17 12:06:49 2017	1502989609	107	58	165	40
Thu Aug 17 12:06:49 2017	1502989609	107	58	165	50
Thu Aug 17 12:06:56 2017	1502989616	29	137	165	133
Thu Aug 17 12:06:56 2017	1502989616	29	137	166	133
Thu Aug 17 12:06:49 2017	1502989609	107	59	166	57
Thu Aug 17 12:06:54 2017	1502989614	13	153	167	147
Thu Aug 17 12:06:50 2017	1502989610	61	106	167	92
Thu Aug 17 12:06:51 2017	1502989611	38	130	167	130
Thu Aug 17 12:06:56 2017	1502989616	31	137	168	132
Thu Aug 17 12:06:54 2017	1502989614	13	155	168	147
Thu Aug 17 12:06:54 2017	1502989614	47	122	169	119
Thu Aug 17 12:06:54 2017	1502989614	47	122	169	119
Thu Aug 17 12:06:54 2017	1502989614	52	117	170	109
Thu Aug 17 12:06:54 2017	1502989614	52	117	170	109
Thu Aug 17 12:06:54 2017	1502989614	53	117	170	109
Thu Aug 17 12:06:49 2017	1502989609	8	162	170	53
Thu Aug 17 12:06:54 2017	1502989614	53	117	170	109
Thu Aug 17 12:06:49 2017	1502989609	8	162	170	53
Thu Aug 17 12:06:49 2017	1502989609	8	162	170	53
Thu Aug 17 12:06:50 2017	1502989610	25	146	170	59
Thu Aug 17 12:06:54 2017	1502989614	47	123	171	119
Thu Aug 17 12:06:54 2017	1502989614	54	117	171	87
Thu Aug 17 12:06:54 2017	1502989614	6	165	171	162
Thu Aug 17 12:06:50 2017	1502989610	25	147	171	59
Thu Aug 17 12:06:50 2017	1502989610	48	123	171	113
Thu Aug 17 12:06:54 2017	1502989614	11	160	172	146
Thu Aug 17 12:06:54 2017	1502989614	13	160	173	145
Thu Aug 17 12:06:54 2017	1502989614	52	122	174	107
Thu Aug 17 12:06:54 2017	1502989614	52	122	174	107
Thu Aug 17 12:06:54 2017	1502989614	9	167	176	156
Thu Aug 17 12:06:53 2017	1502989613	116	60	176	53
Thu Aug 17 12:06:53 2017	1502989613	116	60	176	53
Thu Aug 17 12:06:53 2017	1502989613	111	65	176	58
Thu Aug 17 12:06:53 2017	1502989613	107	69	176	63
Thu Aug 17 12:06:50 2017	1502989610	21	155	176	153
Thu Aug 17 12:06:50 2017	1502989610	52	125	177	112
Thu Aug 17 12:06:54 2017	1502989614	37	140	177	134
Thu Aug 17 12:06:50 2017	1502989610	20	157	177	59
Thu Aug 17 12:06:50 2017	1502989610	20	157	177	155
Thu Aug 17 12:06:50 2017	1502989610	20	157	177	155
Thu Aug 17 12:06:50 2017	1502989610	23	155	177	153
